,clean_sheets,goals_conceded,goals_scored,assists,bonus,bps,total_points,points,opponent_difficulty,next_opp_diff,was_home,value,value_efficiency,selected,transfers_balance,clean_sheets_ewm_3,clean_sheets_ewm_6,goals_conceded_ewm_3,goals_conceded_ewm_6,goals_scored_ewm_3,goals_scored_ewm_6,assists_ewm_3,assists_ewm_6,points_ewm_3,points_ewm_6,total_points_ewm_3,total_points_ewm_6
was_home,0.026408262673231916,-0.0364545976508521,0.003473018706223623,0.011321568580571102,0.019483657833706158,0.014219618103273561,0.0005438495451463136,0.02738139907142771,-0.145886529495905,0.07067776267540003,1.0,-0.0015666617000181932,0.001074964037142929,0.0010445186575958252,0.013096480684892995,0.0021110319997168273,-0.00012639078415319424,-0.007994742705964399,-0.006045004519782398,8.159189863465632e-05,-0.0003077737194760286,0.004881540650417837,0.004501560991554008,0.004217914877421603,0.002610063050413967,-0.0002044530069133045,-0.00018284382441531523
value,0.20586638590479928,0.14937183131778423,0.08038898126521155,0.13611409202801816,0.16933101833159084,0.34935077825005184,0.4869018902739779,0.28880401401519823,-0.0167344159219383,-0.011483585730341783,-0.0015666617000181932,1.0,0.38316289074911547,0.5354119115472633,0.008773565492605466,0.40895520568216076,0.44850413064880723,0.2363271339365484,0.24949725394547456,0.20766398441403738,0.24167042968570657,0.2972015429515771,0.3293741387827197,0.4896710058658249,0.5268827602999633,0.471533267834957,0.47234972498504824
value_efficiency,0.28183579543247056,0.2648747891912972,0.12245372843259981,0.12622683167412224,0.20061404145042686,0.4705349612208622,0.9842636966965866,0.38527668048152564,-0.016626262881937446,-0.007843909881617676,0.001074964037142929,0.38316289074911547,1.0,0.4358910831987302,0.07748573321649652,0.5509102044677567,0.599904927691409,0.4266692664562195,0.45037338032111035,0.2761991566653078,0.3062522703459115,0.2686814620716001,0.2962135767201966,0.6369736181140497,0.6785278806484484,0.9774572735310991,0.9719014674157488
selected,0.17527637109351168,0.1419923091878003,0.06845881939968655,0.13922159572893728,0.1680513353412557,0.30708813829978626,0.5122252185063717,0.2561479390856412,-0.020850260675777284,-0.011504297314397097,0.0010445186575958252,0.5354119115472633,0.4358910831987302,1.0,0.08116389261679736,0.3866504071039954,0.43408081451275704,0.22013390892802684,0.22799008561472392,0.23124405669694098,0.27624898356304894,0.34257352849776657,0.3862621178004308,0.48407722421116256,0.5301270527732742,0.49939137325262223,0.5007420991250869
transfers_balance,0.09890404048036235,0.06690684087441776,0.036463695687366626,0.07369075125358289,0.07648528716754596,0.16028649992351557,0.08106302202696306,0.13723447946484346,-0.06399990685002808,-0.025127606189466092,0.013096480684892995,0.008773565492605466,0.07748573321649652,0.08116389261679736,1.0,0.1781657160791541,0.1558786446015519,0.03582488738830646,0.027479535860861236,0.16560754563064095,0.14564815287298744,0.167664521701635,0.14665739208903214,0.22344457943492202,0.1887519328856022,0.052362269793443154,0.0451255063193574
clean_sheets_ewm_3,0.6730924489282326,0.12405960520222874,0.11416951908176322,0.12280603134572834,0.34896969624539653,0.6739845720612497,0.5627733641797324,0.6487466263863078,-0.044478303677748,0.006810442982859423,0.0021110319997168273,0.40895520568216076,0.5509102044677567,0.3866504071039954,0.1781657160791541,1.0,0.978616619077275,0.2613358896194805,0.2832944160153139,0.24591101513105715,0.26247276600815045,0.2563429033923005,0.2713312503776724,0.8802778064241378,0.8616244467067415,0.4981044546809234,0.4831569749919313
clean_sheets_ewm_6,0.57989326191808,0.1645453199398919,0.11268289331682788,0.12415533093865101,0.31195296485014934,0.6325398610226796,0.6137965197124132,0.5872049806632376,-0.03527981977166054,0.005775768969482596,-0.00012639078415319424,0.44850413064880723,0.599904927691409,0.43408081451275704,0.1558786446015519,0.978616619077275,1.0,0.2947888968011216,0.3143600348558888,0.2545392409728184,0.2779137681298051,0.26528733863800846,0.2857056376423849,0.8798182056839278,0.8917978546112447,0.5611635941671412,0.5495351761548215
goals_conceded_ewm_3,0.09238411059180099,0.7318837121560472,0.10215623609691345,0.12429181658702244,0.08457383089182721,0.4590435429557435,0.40318846863992497,0.24302285198676035,0.05459507481579744,-0.008860632286817034,-0.007994742705964399,0.2363271339365484,0.4266692664562195,0.22013390892802684,0.03582488738830646,0.2613358896194805,0.2947888968011216,1.0,0.9836416219649526,0.2309424744711678,0.24452035939504163,0.26423977641282076,0.28000066388970696,0.45203786043480576,0.4763152665783797,0.379668192749995,0.3744718937064113
goals_conceded_ewm_6,0.1233132067221722,0.6564460136985946,0.09539908152055085,0.12064264366417458,0.09769343353064232,0.4551214647999286,0.4253542537431057,0.2617389793182062,0.040476920096579355,-0.008226318933669333,-0.006045004519782398,0.24949725394547456,0.45037338032111035,0.22799008561472392,0.027479535860861236,0.2832944160153139,0.3143600348558888,0.9836416219649526,1.0,0.2266278076715195,0.24627658439301112,0.26543107323853216,0.28703832937258833,0.4667842269439166,0.49518703354503274,0.40270918557730984,0.39869854266881827
goals_scored_ewm_3,0.13384793292527888,0.16356915698746372,0.6292326322932796,0.05780601627662681,0.2604016728987179,0.33428859861176846,0.2840384024663799,0.39766421516683,-0.012668305145715288,0.0046208812155108395,8.159189863465632e-05,0.20766398441403738,0.2761991566653078,0.23124405669694098,0.16560754563064095,0.24591101513105715,0.2545392409728184,0.2309424744711678,0.2266278076715195,1.0,0.9696943861089815,0.10994694785748917,0.11487575848363833,0.5121298499134782,0.49199475786121244,0.24423787944286035,0.23542254945643473
goals_scored_ewm_6,0.13618199861030036,0.16319530916418112,0.5103913095667888,0.05617975917773319,0.22415453617430006,0.3152895219254087,0.31712707843041404,0.35448545606272086,-0.010160400112468642,0.004888889109829072,-0.0003077737194760286,0.24167042968570657,0.3062522703459115,0.27624898356304894,0.14564815287298744,0.26247276600815045,0.2779137681298051,0.24452035939504163,0.24627658439301112,0.9696943861089815,1.0,0.11429101388314149,0.12251256368186854,0.5195558043994132,0.5215483240459357,0.285300337235304,0.2786691133072325
assists_ewm_3,0.1497515088338413,0.1783858508939382,0.04840346000200549,0.6469630522733134,0.27808784171176626,0.37222029097032167,0.2977280875579486,0.35325590582508504,-0.021253715991682704,-0.006476828326267427,0.004881540650417837,0.2972015429515771,0.2686814620716001,0.34257352849776657,0.167664521701635,0.2563429033923005,0.26528733863800846,0.26423977641282076,0.26543107323853216,0.10994694785748917,0.11429101388314149,1.0,0.974893859557326,0.4762281711068346,0.4689193226944442,0.2641884367008662,0.25836573436654925
assists_ewm_6,0.15024966160529457,0.18029665314101914,0.04949100447910198,0.5418972607924172,0.24906503373824437,0.3528762550350409,0.32931136178470566,0.3276957595984509,-0.01747772412598754,-0.005871089974516046,0.004501560991554008,0.3293741387827197,0.2962135767201966,0.3862621178004308,0.14665739208903214,0.2713312503776724,0.2857056376423849,0.28000066388970696,0.28703832937258833,0.11487575848363833,0.12251256368186854,0.974893859557326,1.0,0.48681555490195877,0.49493688870777525,0.3008545269081566,0.2964010532537361
points_ewm_3,0.5548323031927355,0.2717797565358715,0.2800995323111354,0.26482595250967195,0.4421714240456806,0.7678924947489886,0.6512310781850008,0.7268415782482484,-0.04077219639841775,0.0060460458761649825,0.004217914877421603,0.4896710058658249,0.6369736181140497,0.48407722421116256,0.22344457943492202,0.8802778064241378,0.8798182056839278,0.45203786043480576,0.4667842269439166,0.5121298499134782,0.5195558043994132,0.4762281711068346,0.48681555490195877,1.0,0.983490558170143,0.5791590968263122,0.5630770632470561
points_ewm_6,0.4910071733032955,0.29211551483257764,0.2370445075410475,0.2380863628464259,0.3836967093244826,0.7117884810800547,0.6951625564777891,0.6507771448077534,-0.03116472003302893,0.0056934151552455094,0.002610063050413967,0.5268827602999633,0.6785278806484484,0.5301270527732742,0.1887519328856022,0.8616244467067415,0.8917978546112447,0.4763152665783797,0.49518703354503274,0.49199475786121244,0.5215483240459357,0.4689193226944442,0.49493688870777525,0.983490558170143,1.0,0.6370494609500228,0.6248590344273417
total_points_ewm_3,0.22986611045305388,0.23840568822796007,0.09220598286755666,0.11391488599922467,0.16415230787014284,0.4067495407024855,0.993226975422652,0.32016345300253723,-0.013153708808076687,-0.010642900693365202,-0.0002044530069133045,0.471533267834957,0.9774572735310991,0.49939137325262223,0.052362269793443154,0.4981044546809234,0.5611635941671412,0.379668192749995,0.40270918557730984,0.24423787944286035,0.285300337235304,0.2641884367008662,0.3008545269081566,0.5791590968263122,0.6370494609500228,1.0,0.9986159011041685
total_points_ewm_6,0.22219385274605,0.23449786323444108,0.08855125200291501,0.11156560948234223,0.1583732309691783,0.3966471486809174,0.9879417307888724,0.31059706479220134,-0.012900159783445433,-0.010850949661276128,-0.00018284382441531523,0.47234972498504824,0.9719014674157488,0.5007420991250869,0.0451255063193574,0.4831569749919313,0.5495351761548215,0.3744718937064113,0.39869854266881827,0.23542254945643473,0.2786691133072325,0.25836573436654925,0.2964010532537361,0.5630770632470561,0.6248590344273417,0.9986159011041685,1.0
