,goals_scored,assists,clean_sheets,creativity,influence,threat,ict_index,bonus,bps,total_points,points,opponent_difficulty,next_opp_diff,was_home,value,value_efficiency,selected,transfers_balance,goals_scored_ewm_3,goals_scored_ewm_6,assists_ewm_3,assists_ewm_6,creativity_ewm_3,creativity_ewm_6,influence_ewm_3,influence_ewm_6,threat_ewm_3,threat_ewm_6,points_ewm_3,points_ewm_6,total_points_ewm_3,total_points_ewm_6
goals_scored_ewm_3,0.6700654374156854,0.19096110463566834,0.22466233706786454,0.36873497480221423,0.6315590107691936,0.5820522235536327,0.6171506971607239,0.49353674314694485,0.5850326638980302,0.5216284943110465,0.6620988116610607,-0.024221789638389713,-0.0030671464361375217,0.0016389075999399326,0.5046879683762268,0.43617305793021977,0.554005098232574,0.21357944381795368,1.0,0.9793823415807154,0.36483847762088006,0.38187379191459747,0.4929198978661391,0.49729838031611273,0.7861336309273029,0.7632841549341265,0.7352208576204475,0.7225916313168469,0.821307202194717,0.7987603387335357,0.4676035082900946,0.4575617151164974
goals_scored_ewm_6,0.5774533010493993,0.19626552822354623,0.2238121432992039,0.3764880513107968,0.5728032755334044,0.5603763461730262,0.5889576561628836,0.43050684041101656,0.5367432505053509,0.5640556193323893,0.6056608157587735,-0.019983792969490998,-0.003910613960271898,0.0010383895083744888,0.5488628299296848,0.4702825867129864,0.6078190992123718,0.1871912309802143,0.9793823415807154,1.0,0.3838535009201322,0.40647034986753794,0.5178200490056324,0.5288977493022048,0.7874620750790721,0.7898793198518116,0.7572154300229165,0.7613133134074387,0.8260975356424746,0.8287415186212229,0.5192526150815879,0.5117946391920064
assists_ewm_3,0.19719355994435242,0.6543876947475799,0.21673943560246076,0.47922449444141585,0.46680785352199083,0.38440712739925603,0.517850282029971,0.3060116044673767,0.5026095342218251,0.45243597517701956,0.5220437218060066,-0.021752462558761843,0.0015598315412926407,0.0017214502669750493,0.40695827711215155,0.4028369642868113,0.41448972287855523,0.11970365522275599,0.36483847762088006,0.3838535009201322,1.0,0.9772195597177794,0.6102064388513166,0.6049122605316584,0.6155869278649657,0.609765844581569,0.5180872708867421,0.5190767987341462,0.6724570800065207,0.6630915760032298,0.4119772420920155,0.4051560076888728
assists_ewm_6,0.20076624778282134,0.553923882415811,0.2146004683700376,0.46869961886837047,0.44266429884175706,0.38686145818547174,0.5054927266565196,0.2840494870911945,0.47484728034867685,0.48749326388126396,0.49006500123210467,-0.017587127221082754,0.0006266726718825852,0.0009238191598636298,0.44460294875929657,0.431903473016969,0.457374864963461,0.10448216848496349,0.38187379191459747,0.40647034986753794,0.9772195597177794,1.0,0.6333887871751828,0.6409310675434383,0.6299502805710201,0.6397495889473768,0.5429849877999768,0.5524731134184301,0.685270846291506,0.6938129663795826,0.45292433163219536,0.44806237831520757
creativity_ewm_3,0.26171681528106594,0.3301531582702925,0.33226020364531783,0.7855074752290716,0.5724489955188229,0.5117124560819918,0.7278800870477802,0.31100347814828677,0.6193900537784051,0.6073985950779274,0.558625631237428,-0.024705819889573717,0.001720624207696115,0.006379280035678834,0.5208047289478531,0.5652955381577963,0.49492470368303315,0.09257924161107386,0.4929198978661391,0.5178200490056324,0.6102064388513166,0.6333887871751828,1.0,0.989061164131937,0.8099319323924925,0.8153366843668035,0.6920479795094533,0.6914576799285497,0.7902138690816624,0.7973486378265423,0.5657804805858953,0.5584897661527176
creativity_ewm_6,0.2577819028168947,0.3092605732730908,0.3202322633788424,0.7292145946362923,0.5461560142434836,0.49611544050310846,0.6897493093339527,0.29609100076022865,0.5907834290901898,0.6302700059709062,0.5389782847134779,-0.017957919673141715,0.0011378413786274518,0.004229265912466765,0.5448631586871684,0.5849110414417997,0.5154683192870637,0.075233624894218,0.49729838031611273,0.5288977493022048,0.6049122605316584,0.6409310675434383,0.989061164131937,1.0,0.8075477114171153,0.8273976231236253,0.6972879180236173,0.7078837994829182,0.7914618118293116,0.81141246310345,0.5935348683989112,0.5882398961863838
influence_ewm_3,0.49125677008173485,0.34704497273232277,0.35215788312989965,0.6201613112160315,0.7568886785706195,0.5995801834265515,0.7696969668392916,0.4541704183115897,0.7540661927368427,0.6606526357266763,0.7258554667090572,-0.020383349311475264,-0.0004843196916638416,0.0018611166946645521,0.506414410860015,0.6245861111101267,0.5299217097353756,0.1661743008855163,0.7861336309273029,0.7874620750790721,0.6155869278649657,0.6299502805710201,0.8099319323924925,0.8075477114171153,1.0,0.9871013917922021,0.7801642295421397,0.7712922884843516,0.9544681159213165,0.9432188237265231,0.6029159220272927,0.5921063173980701
influence_ewm_6,0.4318425454473504,0.31960342136301106,0.3391804613288429,0.5961060159264521,0.6928409076901001,0.5692286869696038,0.7236765578968394,0.4029037863364926,0.6982512929857635,0.6927689285400797,0.6692661908770591,-0.016052724394710106,-0.0012406724005843573,0.001279255352525397,0.534333571608024,0.6534675088011496,0.5628365861377485,0.139596826103252,0.7632841549341265,0.7898793198518116,0.609765844581569,0.6397495889473768,0.8153366843668035,0.8273976231236253,0.9871013917922021,1.0,0.7835270362249172,0.7906702307739302,0.9448965026225024,0.9571122077822022,0.6445562815774915,0.6366842378583736
threat_ewm_3,0.4221836372533976,0.26873361900627535,0.30828956490501397,0.5158160176775608,0.5598861014198868,0.7767706268390162,0.7243881666120514,0.3376556987073801,0.5431679900220241,0.6088246443531173,0.5990231299643918,-0.02726198593609606,-0.003675993661880874,0.005400410602486995,0.6334124454874204,0.5181263932323383,0.5895127447325328,0.13895574170675487,0.7352208576204475,0.7572154300229165,0.5180872708867421,0.5429849877999768,0.6920479795094533,0.6972879180236173,0.7801642295421397,0.7835270362249172,1.0,0.9888123406265048,0.8315002873603737,0.8362192673614932,0.5633102427115562,0.5562170279837937
threat_ewm_6,0.3883632964715193,0.26010688726361253,0.2963814734631614,0.49581740432182897,0.5238403279205541,0.7194379742439273,0.6798893780584285,0.3115343569115981,0.5119109923572881,0.6342275871264704,0.5658626874534712,-0.02127382015114382,-0.004711948069301302,0.0029282550372802074,0.6605008948838741,0.5388979515531408,0.6126678424371074,0.11476948716300807,0.7225916313168469,0.7613133134074387,0.5190767987341462,0.5524731134184301,0.6914576799285497,0.7078837994829182,0.7712922884843516,0.7906702307739302,0.9888123406265048,1.0,0.8253691743942745,0.845931834626799,0.5953046297219777,0.5904898464287673
points_ewm_3,0.5066318493478333,0.38500596376716334,0.39020940168336526,0.5970954820486536,0.7159076077822344,0.6318148636699683,0.7577343108197496,0.4779680676610867,0.7389864216321027,0.6883631451919364,0.7625616520629286,-0.023186702905286457,-0.0009960020301766743,0.0029134746793205847,0.5598259066252613,0.6397467011905897,0.567699964993424,0.17635380243443308,0.821307202194717,0.8260975356424746,0.6724570800065207,0.685270846291506,0.7902138690816624,0.7914618118293116,0.9544681159213165,0.9448965026225024,0.8315002873603737,0.8253691743942745,1.0,0.9875214508525796,0.6277076108304932,0.6164921693173158
points_ewm_6,0.44840839893758805,0.3507245220023208,0.36731533648149495,0.579185030228544,0.6591606026652803,0.6038771601096218,0.7178810042933841,0.4209308087262103,0.6836304046391237,0.7206005724193407,0.7002589914411838,-0.018312985571534813,-0.0016741569771642035,0.0019390309775098014,0.5891789005212974,0.6682446998675474,0.6013613079913429,0.1479717695220984,0.7987603387335357,0.8287415186212229,0.6630915760032298,0.6938129663795826,0.7973486378265423,0.81141246310345,0.9432188237265231,0.9571122077822022,0.8362192673614932,0.845931834626799,0.9875214508525796,1.0,0.6701954725481756,0.6620605362817054
total_points_ewm_3,0.21976103058647753,0.19338183402123812,0.22284241216656103,0.39114556290157276,0.3750498768378031,0.37647086718144973,0.44541715816974914,0.19988718997921653,0.3924844517199057,0.9947234748181067,0.39410907194162653,-0.011114956337905529,-0.011863365057312066,5.346026969408957e-05,0.4893934202139453,0.9482438517786322,0.523010597643842,0.047842379486049656,0.4676035082900946,0.5192526150815879,0.4119772420920155,0.45292433163219536,0.5657804805858953,0.5935348683989112,0.6029159220272927,0.6445562815774915,0.5633102427115562,0.5953046297219777,0.6277076108304932,0.6701954725481756,1.0,0.998995704105156
total_points_ewm_6,0.21482313279525786,0.18992139118692103,0.2185260877113042,0.38551132944091004,0.3678600248891096,0.371340993611107,0.43843267384780227,0.1949544190538112,0.3849116520385963,0.9909322594308396,0.38658746903990676,-0.010795955603341158,-0.011673309176588733,0.00011201737265954277,0.49184324893127096,0.9432440478164769,0.5230440985434421,0.04323991664414502,0.4575617151164974,0.5117946391920064,0.4051560076888728,0.44806237831520757,0.5584897661527176,0.5882398961863838,0.5921063173980701,0.6366842378583736,0.5562170279837937,0.5904898464287673,0.6164921693173158,0.6620605362817054,0.998995704105156,1.0
