,goals_scored,assists,creativity,influence,threat,ict_index,bonus,bps,total_points,points,opponent_difficulty,next_opp_diff,was_home,value,value_efficiency,selected,transfers_balance,goals_scored_ewm_3,goals_scored_ewm_6,assists_ewm_3,assists_ewm_6,creativity_ewm_3,creativity_ewm_6,influence_ewm_3,influence_ewm_6,threat_ewm_3,threat_ewm_6,points_ewm_3,points_ewm_6,total_points_ewm_3,total_points_ewm_6
opponent_difficulty,-0.05789694455239342,-0.044031502744278535,-0.06318996109100052,-0.06571369483780942,-0.0770806101238923,-0.0801916551354366,-0.06060716015893305,-0.060509509307553964,-0.009486285520828891,-0.0626699319288891,1.0,-0.07733420386304773,-0.147275600674642,-0.02017375603643775,-0.003992053599483303,-0.023371934755066066,-0.07567195245799714,-0.025971136213160904,-0.020755708525964128,-0.021586694534019103,-0.018283820651741712,-0.022437731708065185,-0.016896484875484997,-0.025282794800094793,-0.019471709257738504,-0.028122104794557394,-0.021106967197302408,-0.02188476891540578,-0.016345179929778506,-0.007344652746542342,-0.007222365402684069
next_opp_diff,0.005178936799390242,0.00698994530148641,0.004805176742864793,0.005157153984721646,0.005182224158684987,0.005953760748566192,0.010610413207916924,0.006420943192061109,-0.007180949590715956,0.0060514655715336145,-0.07733420386304773,1.0,0.07481640185912239,-0.02010049660859022,-0.0022176527554859495,-0.012742241036778923,-0.028799214188268165,-0.0011940710571117787,-0.0025584079485715797,0.0021862280085577796,-0.0006680795691698257,-0.0014636683809504196,-0.0031050030328489834,-9.488348233120736e-05,-0.0016523268153725299,-0.0008658027023726808,-0.0017175033028443863,0.0006507715867778731,-0.0003555953228394377,-0.008465378928169965,-0.008483044483539856
was_home,0.028280869785679983,0.010415729037016997,0.035077989884499526,0.02816440881565981,0.041817647449705744,0.040787882522630534,0.026723250489815557,0.026083155944682464,0.002215363791256581,0.02516427489733594,-0.147275600674642,0.07481640185912239,1.0,0.00021125888581161902,0.001574638466237283,0.00035637797000931837,0.01290220759970247,0.010442611681347086,0.0074992823759862165,0.00584109572721025,0.004621032157392815,0.00569925640277159,0.002677150084410015,0.007737048562012279,0.004983025239994736,0.008745559191727068,0.005396067454142983,0.008646069481995146,0.006138146325180923,0.0009262268506931165,0.0008181100122969477
value,0.2577884474906912,0.1603566419582918,0.30517202116286823,0.31842478244094957,0.3917864160820972,0.39746628509714327,0.21342242999006109,0.30848532434217185,0.5074527400964596,0.3461368739244592,-0.02017375603643775,-0.02010049660859022,0.00021125888581161902,1.0,0.3201910811072101,0.5665421991350273,0.037472865512496366,0.4770209524504872,0.5175387367254942,0.3371600788657313,0.3675247497435237,0.45536287076209364,0.47778680203097296,0.5234090504914266,0.5599549169295526,0.5707506388080029,0.6018937072509214,0.5267091472675713,0.556552493530871,0.49310512855858585,0.49633428426420945
value_efficiency,0.2822992809567193,0.17876539406854108,0.3751295954406571,0.36873489250425495,0.410399149892031,0.4427320415101814,0.25429915114420487,0.3569688272807335,0.9482319812739349,0.41964081810133924,-0.003992053599483303,-0.0022176527554859495,0.001574638466237283,0.3201910811072101,1.0,0.425114116730173,0.06740137231969986,0.48962861079895476,0.5149606017778919,0.37390343239133006,0.41011704441670604,0.569485680311989,0.5969620458656923,0.5814253234661146,0.6071857431603442,0.5891589396583725,0.6135891552402174,0.6205289770272839,0.6461163550356387,0.9425574213280303,0.9365910245595307
selected,0.2788193399049392,0.16441152219164054,0.28974405100218337,0.32868202651109185,0.3892682854644871,0.3968577749791824,0.2218480160590897,0.31143118262378056,0.5881204055385011,0.3497437900695914,-0.023371934755066066,-0.012742241036778923,0.00035637797000931837,0.5665421991350273,0.425114116730173,1.0,0.12584774987176056,0.5843148112467611,0.6424277750641159,0.37024684795488794,0.4080576635052722,0.44212466392813604,0.46172248069198796,0.5954500061127468,0.641805208587921,0.591020564328182,0.6233618653411406,0.581789822924367,0.6193761391673558,0.5731186197173005,0.5762765369983898
transfers_balance,0.10476942044959439,0.04708926210357131,0.13093228463564388,0.12868899647735013,0.16937404923655947,0.16794691763684141,0.078540742677299,0.11453393368920779,0.07923542528526945,0.13115016890799358,-0.07567195245799714,-0.028799214188268165,0.01290220759970247,0.037472865512496366,0.06740137231969986,0.12584774987176056,1.0,0.24455269329772766,0.2107551385725821,0.11830264806017492,0.1059515284860857,0.11925319618430584,0.09891909439319803,0.22465957064731681,0.1898897933009244,0.15973302575066198,0.13017321233228174,0.20989953958657795,0.1771624177142329,0.05614168671234859,0.051494993800654
goals_scored_ewm_3,0.6900538347365781,0.19536579246297944,0.413078601023027,0.7046573324509263,0.6232939814639832,0.6934959828184509,0.568809380137693,0.6934982423537718,0.5537640343461842,0.7155784116897224,-0.025971136213160904,-0.0011940710571117787,0.010442611681347086,0.4770209524504872,0.48962861079895476,0.5843148112467611,0.24455269329772766,1.0,0.9808662129891715,0.37730723444659736,0.3934689248644314,0.5597725650630283,0.558973890291605,0.9384959435189305,0.9178707088412171,0.7836122511669463,0.7706855772562031,0.9050906007498067,0.8836838581783633,0.49684060450266504,0.4886314716032064
goals_scored_ewm_6,0.603481802693111,0.19560910664536632,0.40551227124031153,0.6321633492594863,0.592510949983113,0.6474059478094617,0.4984510913723804,0.6207577130722755,0.5867966855950847,0.6525424704305575,-0.020755708525964128,-0.0025584079485715797,0.0074992823759862165,0.5175387367254942,0.5149606017778919,0.6424277750641159,0.2107551385725821,0.9808662129891715,1.0,0.391232731957113,0.41385763127543584,0.5747448816267547,0.5835923842808906,0.9300999434219497,0.9409361967818676,0.799826658507691,0.8063505707194158,0.9040524044211032,0.9102519206846673,0.5392789984101618,0.5340038126612415
assists_ewm_3,0.22183433926505572,0.6488268975973188,0.4542384863951914,0.40845067351154307,0.39488567183270606,0.4688036142289454,0.2563744588637752,0.41257638029646265,0.4157196655146043,0.48596952658431786,-0.021586694534019103,0.0021862280085577796,0.00584109572721025,0.3371600788657313,0.37390343239133006,0.37024684795488794,0.11830264806017492,0.37730723444659736,0.391232731957113,1.0,0.9766073617824517,0.6083155161771426,0.603317314867015,0.5785218378860746,0.5784857522774204,0.5269310583016278,0.5272429184903749,0.6325979942163742,0.6249433849618443,0.37684194519130637,0.3702191168800746
assists_ewm_6,0.22456231681649724,0.5481409592357155,0.43889714660729373,0.39157892302754727,0.3986893648460372,0.46064505646419923,0.2502256247604061,0.39052320615425157,0.45607781971109307,0.45979099231128717,-0.018283820651741712,-0.0006680795691698257,0.004621032157392815,0.3675247497435237,0.41011704441670604,0.4080576635052722,0.1059515284860857,0.3934689248644314,0.41385763127543584,0.9766073617824517,1.0,0.6299981388882944,0.640822913591763,0.5946579147300827,0.6094449832788257,0.5532373910723498,0.563349128592115,0.646500282216758,0.6558816886729597,0.4232980101420917,0.41880550681855006
creativity_ewm_3,0.3212970438194946,0.3282455693668919,0.7583273484261981,0.5019334680565178,0.5715494720481209,0.6672831928838862,0.32271595272387,0.4886606632445286,0.5925644150472738,0.5445942011083894,-0.022437731708065185,-0.0014636683809504196,0.00569925640277159,0.45536287076209364,0.569485680311989,0.44212466392813604,0.11925319618430584,0.5597725650630283,0.5747448816267547,0.6083155161771426,0.6299981388882944,1.0,0.9868153413706208,0.7540863373067929,0.7592866502197473,0.7751921941103085,0.7731871001267431,0.7709564213560319,0.7735737197794638,0.547946320330943,0.5383951384954266
creativity_ewm_6,0.31268112893518446,0.30237443649547235,0.6943274763806035,0.4785426174004308,0.5500105189285257,0.6321359935730213,0.3100138792392592,0.4662745844032339,0.6214370769428849,0.523480604007571,-0.016896484875484997,-0.0031050030328489834,0.002677150084410015,0.47778680203097296,0.5969620458656923,0.46172248069198796,0.09891909439319803,0.558973890291605,0.5835923842808906,0.603317314867015,0.640822913591763,0.9868153413706208,1.0,0.7510874036584883,0.7713735248611785,0.7761853490626858,0.7887970289347296,0.770509655332925,0.787651893062622,0.5828226606574428,0.5755149085173336
influence_ewm_3,0.6259372644829969,0.3183548814609352,0.5566567191782871,0.7318974474922685,0.684210114366417,0.7689932843473877,0.5435364170546367,0.7055515326863447,0.6364923227969073,0.745731850015446,-0.025282794800094793,-9.488348233120736e-05,0.007737048562012279,0.5234090504914266,0.5814253234661146,0.5954500061127468,0.22465957064731681,0.9384959435189305,0.9300999434219497,0.5785218378860746,0.5946579147300827,0.7540863373067929,0.7510874036584883,1.0,0.9848812475199186,0.8757828930235825,0.8643258218655087,0.9685249547558628,0.9526055221427326,0.5768180009000974,0.5670753145870155
influence_ewm_6,0.5547795250300104,0.29569757485073495,0.5317233132053015,0.660041980760177,0.6479060147325394,0.7162441514151392,0.4824060020111896,0.6362588015712293,0.6689504731815564,0.683180561426792,-0.019471709257738504,-0.0016523268153725299,0.004983025239994736,0.5599549169295526,0.6071857431603442,0.641805208587921,0.1898897933009244,0.9178707088412171,0.9409361967818676,0.5784857522774204,0.6094449832788257,0.7592866502197473,0.7713735248611785,0.9848812475199186,1.0,0.8831535373490267,0.8919028339595947,0.9602776260759818,0.9709544182619959,0.6192600721377743,0.6126260820504186
threat_ewm_3,0.4730061590373326,0.26797925354130503,0.5566812201493261,0.589182278027097,0.7770091853902343,0.7611792518625426,0.3973313116895263,0.5516557404634076,0.646335522295785,0.6317056043211361,-0.028122104794557394,-0.0008658027023726808,0.008745559191727068,0.5707506388080029,0.5891589396583725,0.591020564328182,0.15973302575066198,0.7836122511669463,0.799826658507691,0.5269310583016278,0.5532373910723498,0.7751921941103085,0.7761853490626858,0.8757828930235825,0.8831535373490267,1.0,0.9877192513921514,0.8837632477873845,0.8872137631113968,0.5965293466195546,0.588297549343155
threat_ewm_6,0.4366691843745758,0.25630717533100916,0.5309842266485236,0.5488368168641597,0.7174315308630742,0.708506689452406,0.3681610899252864,0.5167612285942671,0.6771941328718005,0.5949898025074986,-0.021106967197302408,-0.0017175033028443863,0.005396067454142983,0.6018937072509214,0.6135891552402174,0.6233618653411406,0.13017321233228174,0.7706855772562031,0.8063505707194158,0.5272429184903749,0.563349128592115,0.7731871001267431,0.7887970289347296,0.8643258218655087,0.8919028339595947,0.9877192513921514,1.0,0.8763214357005302,0.8984521663520888,0.6352635806953569,0.6297871983651326
points_ewm_3,0.589491110623423,0.3540420583532727,0.5604488635594475,0.6931215771344371,0.6785043916365586,0.7512355990428068,0.5408216244885803,0.6912972753782596,0.6650608382632379,0.7605588834011492,-0.02188476891540578,0.0006507715867778731,0.008646069481995146,0.5267091472675713,0.6205289770272839,0.581789822924367,0.20989953958657795,0.9050906007498067,0.9040524044211032,0.6325979942163742,0.646500282216758,0.7709564213560319,0.770509655332925,0.9685249547558628,0.9602776260759818,0.8837632477873845,0.8763214357005302,1.0,0.9869863351292796,0.6040645304633057,0.5938789605772212
points_ewm_6,0.526773410176764,0.32266086944549915,0.5364656047424634,0.630542537520112,0.6446779663495686,0.7037065533447601,0.48015287320174044,0.6265542556395672,0.6948046255189453,0.6971330358931482,-0.016345179929778506,-0.0003555953228394377,0.006138146325180923,0.556552493530871,0.6461163550356387,0.6193761391673558,0.1771624177142329,0.8836838581783633,0.9102519206846673,0.6249433849618443,0.6558816886729597,0.7735737197794638,0.787651893062622,0.9526055221427326,0.9709544182619959,0.8872137631113968,0.8984521663520888,0.9869863351292796,1.0,0.6440751448625264,0.6371049652557416
total_points_ewm_3,0.26477651007712,0.16761233078450918,0.35142184913110125,0.34288677670034656,0.3988029131096493,0.42121567656648756,0.22993921311014878,0.3290620928566534,0.9946817315690955,0.38560008615586616,-0.007344652746542342,-0.008465378928169965,0.0009262268506931165,0.49310512855858585,0.9425574213280303,0.5731186197173005,0.05614168671234859,0.49684060450266504,0.5392789984101618,0.37684194519130637,0.4232980101420917,0.547946320330943,0.5828226606574428,0.5768180009000974,0.6192600721377743,0.5965293466195546,0.6352635806953569,0.6040645304633057,0.6440751448625264,1.0,0.9989594731040752
total_points_ewm_6,0.2606590053727719,0.16443096867648074,0.34479244843858037,0.33721196242406437,0.3929238429911855,0.4144292644875652,0.2257744963966572,0.3233955148010084,0.990857951439582,0.37909561576421297,-0.007222365402684069,-0.008483044483539856,0.0008181100122969477,0.49633428426420945,0.9365910245595307,0.5762765369983898,0.051494993800654,0.4886314716032064,0.5340038126612415,0.3702191168800746,0.41880550681855006,0.5383951384954266,0.5755149085173336,0.5670753145870155,0.6126260820504186,0.588297549343155,0.6297871983651326,0.5938789605772212,0.6371049652557416,0.9989594731040752,1.0
